=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.29 13:21:36 =~=~=~=~=~=~=~=~=~=~=~=
0.1
162884,4.82,0.30
163135,4.88,0.29
163386,4.88,0.31
163638,4.88,0.30
163889,4.88,0.29
164140,4.88,0.29
164390,4.88,0.25
164641,4.90,0.23
164893,4.91,0.23
165144,4.90,0.23
165395,4.91,0.21
165646,4.91,0.21
165898,4.91,0.21
166149,4.91,0.21
166400,4.91,0.21
166650,4.91,0.21
166902,4.91,0.21
167153,4.90,0.24
167404,4.90,0.23
167656,4.90,0.24
167907,4.90,0.24
168158,4.90,0.24
168409,4.90,0.25
168659,4.90,0.24
168911,4.90,0.24
169162,4.90,0.21
169413,4.91,0.21
169664,4.91,0.21
169916,4.91,0.22
170167,4.91,0.21
170418,4.91,0.21
170670,4.91,0.21
170920,4.91,0.21
171171,4.90,0.21
171422,4.91,0.21
171674,4.91,0.22
171925,4.91,0.21
172176,4.91,0.21
172427,4.91,0.21
172679,4.90,0.24
172930,4.90,0.24
173180,4.90,0.24
173431,4.90,0.23
173683,4.90,0.24
173934,4.90,0.24
174185,4.90,0.24
174436,4.90,0.24
174688,4.90,0.22
174939,4.91,0.21
175190,4.91,0.22
175441,4.91,0.22
175692,4.91,0.22
175943,4.91,0.22
176194,4.91,0.22
176446,4.91,0.21
176697,4.91,0.22
176948,4.91,0.22
177200,4.91,0.22
177451,4.91,0.22
177701,4.90,0.24
177952,4.90,0.24
178204,4.90,0.24
178455,4.90,0.26
178706,4.87,0.33
178957,4.87,0.33
179209,4.87,0.33
179460,4.86,0.34
179710,4.86,0.33
179961,4.87,0.33
180212,4.86,0.34
180464,4.87,0.32
180715,4.90,0.25
180966,4.89,0.25
181217,4.89,0.34
181468,4.89,0.26
181720,4.89,0.29
181970,4.88,0.31
182221,4.87,0.30
182472,4.89,0.28
182723,4.88,0.28
182975,4.90,0.23
183226,4.90,0.23
183477,4.89,0.28
183728,4.90,0.23
183980,4.90,0.25
184230,4.89,0.24
184481,4.90,0.23
184732,4.90,0.26
184984,4.89,0.25
185235,4.90,0.26
185486,4.90,0.25
185737,4.90,0.27
185989,4.90,0.25
186240,4.89,0.24
186490,4.88,0.26
186741,4.88,0.29
186993,4.90,0.23
187244,4.90,0.27
187495,4.88,0.26
187746,4.90,0.23
187997,4.90,0.30
188249,4.86,0.31
188499,4.88,0.34
188750,4.89,0.25
189001,4.89,0.24
189252,4.89,0.31
189504,4.89,0.27
189755,4.88,0.28
190006,4.89,0.26
190257,4.90,0.23
190509,4.90,0.24
190759,4.88,0.28
191010,4.89,0.25
191261,4.89,0.37
191513,4.85,0.38
191764,4.87,0.40
192015,4.86,0.37
192266,4.83,0.37
192517,4.85,0.37
192769,4.86,0.32
193019,4.87,0.33
193270,4.88,0.26
193521,4.90,0.25
193772,4.90,0.23
194024,4.90,0.23
194275,4.90,0.23
194526,4.90,0.23
194777,4.91,0.22
195028,4.91,0.20
195279,4.91,0.21
195530,4.91,0.21
195782,4.91,0.21
196033,4.91,0.20
196284,4.91,0.24
196535,4.90,0.23
196787,4.90,0.23
197038,4.90,0.23
197288,4.90,0.23
197539,4.90,0.23
197791,4.90,0.23
198042,4.90,0.23
198293,4.90,0.21
198544,4.91,0.21
198796,4.91,0.20
199047,4.91,0.21
199298,4.91,0.21
199549,4.91,0.21
199800,4.91,0.20
200051,4.91,0.20
200302,4.91,0.20
200554,4.91,0.21
200805,4.91,0.20
201056,4.91,0.21
201308,4.91,0.22
201559,4.91,0.20
201809,4.91,0.21
202061,4.91,0.20
202312,4.91,0.20
202563,4.91,0.21
202814,4.91,0.21
203066,4.91,0.21
203317,4.91,0.21
203568,4.91,0.20
203820,4.91,0.21
204070,4.91,0.21
204321,4.91,0.20
204572,4.91,0.20
204824,4.91,0.20
205075,4.91,0.21
205326,4.91,0.21
205578,4.91,0.21
205829,4.91,0.21
206080,4.91,0.21
206330,4.91,0.20
206582,4.91,0.23
206833,4.90,0.23
207084,4.90,0.23
207335,4.90,0.23
207587,4.90,0.23
207838,4.91,0.23
208089,4.90,0.23
208339,4.90,0.23
208591,4.90,0.21
208842,4.91,0.21
209093,4.91,0.20
209344,4.91,0.21
209596,4.91,0.21
209847,4.91,0.21
210098,4.91,0.21
210350,4.91,0.20
210600,4.91,0.21
210851,4.91,0.21
211102,4.91,0.21
211354,4.91,0.21
211605,4.91,0.21
211856,4.91,0.21
212108,4.91,0.23
212359,4.91,0.23
212610,4.91,0.23
212860,4.91,0.23
213112,4.90,0.23
213363,4.91,0.23
213614,4.90,0.23
213865,4.90,0.23
214117,4.90,0.22
214368,4.91,0.20
214619,4.91,0.20
214870,4.91,0.21
215121,4.91,0.21
215372,4.91,0.21
215623,4.91,0.21
215875,4.91,0.21
216126,4.91,0.21
216377,4.91,0.21
216628,4.91,0.21
216880,4.90,0.23
217131,4.91,0.23
217381,4.90,0.23
217633,4.91,0.22
217884,4.90,0.23
218135,4.90,0.23
218386,4.91,0.23
218638,4.90,0.23
